object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201443179349303604,231352008,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
201443159349302919,042104451,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403249349300010,237034324,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349301799,410693962,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403499349301200,237410494,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403529349300205,580566143,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423529349300412,370661211,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403469349300145,596046500,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443399349300804,410970173,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423119349302207,330018105,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423429349300102,560547511,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423519349300952,610660795,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423129349300002,566049935,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201402879349300940,840798089,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349306249,133705284,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349304404,953797687,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349300214,410698301,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413379349300531,620812782,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443219349311099,416059072,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443189349305919,480554341,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413219349302421,561388743,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201413199349300016,200471061,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201433219349305503,620789275,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201433449349300008,620202000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443379349300324,521435310,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433189349302568,610461768,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423219349303622,362166946,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201433189349304123,390821861,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201443219349305534,591407629,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423219349310327,430652649,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403439349300910,030197728,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433219349305048,481153519,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true
201433219349301053,470489031,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433239349300603,750827421,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443369349300524,060646520,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423189349306322,591092732,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201411049349200211,272361792,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201422239349301607,237178040,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true
201421339349201917,382899848,false,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201412279349301636,860197576,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201402309349300630,237202810,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201401229349300645,316032186,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421209349300237,521547103,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412269349301076,391631340,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421269349301172,340873175,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201431289349300513,113350641,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412389349300221,113392105,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201412379349300121,616002351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412259349300816,561684241,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201432279349304318,222560916,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
201431259349300328,237242844,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true
201412379349300321,454620000,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412469349300551,610470593,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201411359349307171,263763572,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201421299349301817,030486416,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201422669349300042,850164940,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201442749349301019,133916822,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201422749349301027,630338081,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201441349349303199,540784341,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201441509349300029,954003255,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201401399349300200,562057124,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421679349300807,020332032,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201411409349300326,134204944,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201412189349200021,237178313,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201412029349300321,620481463,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201432179349301233,330499514,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412609349301006,942245517,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201422169349300037,341037893,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201402769349300805,240795439,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201431979349300818,200932939,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201402559349300200,350715530,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201442559349300864,510205293,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201442269349304709,942933165,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201432179349301198,931226663,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201402869349300200,480548361,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412899349300621,562231069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412839349301201,111802808,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true
201422799349300302,541743079,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201402889349301000,521662533,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201412879349300241,344429091,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412879349300626,550370901,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201402959349300715,621149976,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201403009349300885,316064854,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201442879349300724,350868095,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201422819349300432,620819352,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433179349304223,421351526,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423149349302187,420686467,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443179349306519,200180768,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201413289349300436,610466713,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443179349304359,351065063,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433179349306808,954230730,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443159349300979,942515428,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443169349304464,880121831,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413259349300406,042702102,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423169349301972,132635819,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423169349302427,590972013,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443179349306614,131662715,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433179349304333,250965603,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433179349305423,391620530,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423169349304852,810231774,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423169349303627,350886846,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443169349303414,541031437,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201443159349301729,450231180,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433179349304828,362167773,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
201443149349301499,731303821,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443149349302769,341726619,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433109349300628,710462177,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412939349300126,592961536,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201413009349301051,420680460,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201442959349300019,710350954,true,true,true,true,true,true,true,false,false,false,false,false,false,-,-,true,false,true
201422909349300712,480842156,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443079349300249,410706151,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413019349301026,541851377,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423019349300242,580593438,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201402809349300800,560530251,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433109349301928,261901554,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201412959349300126,480543782,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423039349300627,640303086,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412959349301051,350868181,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403159349302465,251065148,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201403429349300615,460283336,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443429349300414,166031585,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443469349200219,237400778,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423519349300402,581494136,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403579349300325,521010577,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403459349300820,560767736,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201413449349300111,530196583,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201413449349300126,363157451,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413519349300506,362182170,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433189349302143,810231777,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443219349309969,510305893,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443539349300524,132513162,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413569349300716,560532296,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433499349301358,720467515,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349304694,540646523,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403219349306475,381673400,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413469349300316,237013253,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403529349300320,620475691,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403529349300400,741357323,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443219349302154,416011702,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423189349308837,841398694,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443189349306734,550357056,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201413459349300011,450306841,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403579349300505,200258004,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413469349300116,570324915,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423219349305487,476025325,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423389349300307,112357063,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423189349302672,470418641,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403359349300030,160909446,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403189349307150,141338310,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403189349306245,470424785,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413369349300501,420680408,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413339349300001,530174589,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201413189349307566,820309302,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403219349306785,640303094,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true
201423219349309872,132928042,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
201433189349306488,362167855,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413159349300826,522027415,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433169349201733,050459858,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201413149349301011,232215278,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413039349300626,560529972,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403099349301215,260069167,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403099349300925,630771624,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403149349302770,362310478,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423029349300927,386080947,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413159349301026,426081293,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423079349300242,410908458,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433169349302723,480543766,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403149349300005,382812695,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443159349303059,250965576,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423179349304652,136171197,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433159349300313,620476661,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403169349300815,431742297,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423169349303452,521266885,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403179349306665,381359083,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201413179349305256,226830873,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423169349304182,541954969,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201411979349300711,721234351,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201403219349306145,540568200,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403219349306950,141423161,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201402949349300735,561065978,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403219349307960,710236867,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403219349308850,230973290,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403169349301835,390806325,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403179349302875,610444780,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403219349309665,650216638,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true
201403149349300920,640876425,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201402269349300205,136192377,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403219349305780,112206183,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201401909349300710,640961249,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201402189349301200,112983636,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201401639349300805,200536531,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201402049349300960,620730291,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true
201413149349300801,340737794,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201413149349301031,461812625,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true
201413039349300316,231937954,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201413149349301236,570314415,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412409349300306,134025667,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412839349300831,550560945,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412879349300416,381359570,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412879349300846,410694721,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413169349303271,370706154,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413009349301026,953921204,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201412889349300111,750891465,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423039349301757,942992642,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423179349305002,010275130,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423359349300102,056015988,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201422909349300327,410696906,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201422909349300622,910615846,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423179349305407,610492351,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423189349307402,420681049,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423189349308742,237385525,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201422879349301102,391399196,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423219349300047,020223955,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423459349300127,580644897,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423179349301647,480559090,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423499349301252,204984268,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423189349302772,942881684,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423289349300917,480543715,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201422049349300312,273339369,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201413499349301301,931040479,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201413219349306826,570324916,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413189349308941,256068388,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true
201413389349300801,741238438,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201431609349300218,341486155,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
201442099349200634,753073372,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201442939349300314,596605703,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201441769349300834,113358541,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201441289349302209,363085682,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433429349300128,020223339,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433429349300303,620485733,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433369349300703,590624459,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433219349310303,410789402,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201432829349301033,610510937,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433159349302513,954559065,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201433189349302383,208384273,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201433119349301433,580685908,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201432739349200538,931071753,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201432879349300628,362919340,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201433169349301138,430471057,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201432889349300313,420680323,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443219349303134,910570848,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443149349301494,208091013,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443169349303089,956102146,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443219349306779,910791533,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443509349301004,275316628,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443569349300704,231424055,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443219349311239,930999148,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443519349300724,510109178,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412839349300546,750855633,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201402879349300145,381443369,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201422959349300417,410795255,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413119349300836,620548917,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412889349200606,581047430,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423529349300812,431658069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423379349300007,061744054,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423079349302087,810444020,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201433179349305078,362166964,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413459349300626,631191637,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421889349300852,370692975,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
201422539349300442,112705352,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413509349300036,951916051,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
